,file,initial_length,final_length,chars_removed,initial_tokens,final_tokens,token_removed,is_10k,status
162,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2005_10-K.txt,335924 char,307828 char,28096,39650 tokens,33592 tokens,6058,False,Success
160,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2004_10-K.txt,194276 char,178412 char,15864,23836 tokens,21943 tokens,1893,False,Success
159,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2003_10-K.txt,199930 char,182842 char,17088,24694 tokens,22609 tokens,2085,False,Success
157,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2002_Annual Report.txt,169615 char,157782 char,11833,20308 tokens,19250 tokens,1058,False,Success
158,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2002_10-K.txt,197320 char,179943 char,17377,24410 tokens,22215 tokens,2195,False,Success
156,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2001_10-K.txt,136111 char,124837 char,11274,16842 tokens,15412 tokens,1430,False,Success
155,10-K_or_equivalent-txt-preprocessed\JNJ\JNJ_2000_10-K.txt,73210 char,66962 char,6248,9156 tokens,8521 tokens,635,False,Success
151,10-K_or_equivalent-txt-preprocessed\GSK\GSK-responsible-business-supplement-2017.txt,70824 char,63633 char,7191,8660 tokens,7953 tokens,707,False,Success
152,10-K_or_equivalent-txt-preprocessed\GSK\GSK-responsible-business-supplement-2016.txt,77050 char,69659 char,7391,9319 tokens,8651 tokens,668,False,Success
154,10-K_or_equivalent-txt-preprocessed\GSK\GSK-responsible-business-supplement-2014.txt,123836 char,111184 char,12652,15277 tokens,13913 tokens,1364,False,Success
150,10-K_or_equivalent-txt-preprocessed\GSK\GSK-responsible-business-supplemen-2015.txt,139136 char,125598 char,13538,16906 tokens,15694 tokens,1212,False,Success
147,10-K_or_equivalent-txt-preprocessed\GSK\GSK-esg-performance-summary-2020.txt,45883 char,42599 char,3284,5610 tokens,5231 tokens,379,False,Success
153,10-K_or_equivalent-txt-preprocessed\GSK\GSK-esg-performance-report-2023.txt,178359 char,163258 char,15101,21883 tokens,20427 tokens,1456,False,Success
149,10-K_or_equivalent-txt-preprocessed\GSK\GSK-esg-performance-report-2022.txt,160544 char,147019 char,13525,19297 tokens,17977 tokens,1320,False,Success
143,10-K_or_equivalent-txt-preprocessed\GSK\GSK-esg-performance-report-2021.txt,114504 char,105008 char,9496,13766 tokens,12846 tokens,920,False,Success
148,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2013.txt,195916 char,175167 char,20749,23994 tokens,21786 tokens,2208,False,Success
142,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2012.txt,177242 char,159087 char,18155,21776 tokens,19821 tokens,1955,False,Success
144,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2011.txt,243174 char,221214 char,21960,29161 tokens,27276 tokens,1885,False,Success
146,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2010.txt,444956 char,403111 char,41845,53790 tokens,49548 tokens,4242,False,Success
182,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2009.txt,1828014 char,1649212 char,178802,220732 tokens,203161 tokens,17571,False,Success
164,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2008.txt,1406668 char,1272827 char,133841,169622 tokens,156735 tokens,12887,False,Success
141,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2007.txt,330777 char,298253 char,32524,40394 tokens,36896 tokens,3498,False,Success
139,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2006.txt,250813 char,227412 char,23401,30279 tokens,28077 tokens,2202,False,Success
136,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2005.txt,268941 char,244018 char,24923,32602 tokens,30209 tokens,2393,False,Success
134,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2004.txt,212041 char,192516 char,19525,25529 tokens,23601 tokens,1928,False,Success
132,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2003.txt,68905 char,62553 char,6352,8251 tokens,7639 tokens,612,False,Success
131,10-K_or_equivalent-txt-preprocessed\GSK\GSK-corporate-responsibility-report-2002.txt,52404 char,47496 char,4908,6208 tokens,5748 tokens,460,False,Success
145,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2023.txt,889895 char,815570 char,74325,108338 tokens,100534 tokens,7804,False,Success
140,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2022.txt,899146 char,826379 char,72767,109084 tokens,102057 tokens,7027,False,Success
138,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2021.txt,914317 char,840007 char,74310,111449 tokens,103881 tokens,7568,False,Success
137,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2020.txt,867394 char,797484 char,69910,105474 tokens,98513 tokens,6961,False,Success
135,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2019.txt,879527 char,807329 char,72198,107381 tokens,99776 tokens,7605,False,Success
133,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2018.txt,785388 char,721177 char,64211,95888 tokens,89148 tokens,6740,False,Success
130,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2017.txt,738309 char,676683 char,61626,90233 tokens,83688 tokens,6545,False,Success
129,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2016.txt,756818 char,694514 char,62304,92248 tokens,85725 tokens,6523,False,Success
128,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2015.txt,725334 char,666967 char,58367,87502 tokens,81892 tokens,5610,False,Success
127,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2014.txt,749979 char,687063 char,62916,91318 tokens,84858 tokens,6460,False,Success
126,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2013.txt,688382 char,630415 char,57967,84076 tokens,78404 tokens,5672,False,Success
125,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2012.txt,736799 char,683062 char,53737,81950 tokens,77102 tokens,4848,False,Success
124,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2011.txt,641619 char,589339 char,52280,78097 tokens,73292 tokens,4805,False,Success
123,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2010.txt,581099 char,531340 char,49759,71147 tokens,65843 tokens,5304,False,Success
122,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2009.txt,527052 char,481437 char,45615,64680 tokens,59587 tokens,5093,False,Success
121,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2008.txt,510756 char,467012 char,43744,62536 tokens,57960 tokens,4576,False,Success
120,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2007.txt,517439 char,472703 char,44736,63541 tokens,58634 tokens,4907,False,Success
119,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2006.txt,517212 char,474580 char,42632,62333 tokens,57833 tokens,4500,False,Success
118,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2005.txt,518954 char,475745 char,43209,62516 tokens,57978 tokens,4538,False,Success
117,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2004.txt,516967 char,474061 char,42906,61228 tokens,56689 tokens,4539,False,Success
116,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2003.txt,482538 char,438620 char,43918,59134 tokens,53671 tokens,5463,False,Success
115,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2002.txt,458743 char,419366 char,39377,55124 tokens,50883 tokens,4241,False,Success
114,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2001.txt,415208 char,380162 char,35046,49807 tokens,45899 tokens,3908,False,Success
113,10-K_or_equivalent-txt-preprocessed\GSK\GSK-annual-report-2000.txt,414423 char,379576 char,34847,49888 tokens,45868 tokens,4020,False,Success
112,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2023_10-K.txt,275550 char,251356 char,24194,32460 tokens,30271 tokens,2189,False,Success
109,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2022_ESG Impact Report.txt,166778 char,153074 char,13704,19887 tokens,18878 tokens,1009,False,Success
111,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2022_10-K.txt,268538 char,244651 char,23887,31666 tokens,29494 tokens,2172,False,Success
110,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2021_10-K.txt,295085 char,269464 char,25621,34854 tokens,32615 tokens,2239,False,Success
105,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2020_Annual Review.txt,120295 char,110063 char,10232,14456 tokens,13615 tokens,841,False,Success
108,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2020_10-K.txt,306525 char,280091 char,26434,36299 tokens,33938 tokens,2361,False,Success
107,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2019_10-K.txt,272924 char,248645 char,24279,32473 tokens,30256 tokens,2217,False,Success
102,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2018_Annual Review.txt,102724 char,89917 char,12807,14169 tokens,11384 tokens,2785,False,Success
106,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2018_10-K.txt,272563 char,248184 char,24379,32617 tokens,30348 tokens,2269,False,Success
104,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2017_10-K.txt,339735 char,310302 char,29433,40619 tokens,38003 tokens,2616,False,Success
97,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2016_Annual Review.txt,73061 char,66660 char,6401,9115 tokens,8406 tokens,709,False,Success
103,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2016_10-K.txt,329357 char,301070 char,28287,39303 tokens,36761 tokens,2542,False,Success
101,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2015_10-K.txt,320343 char,292753 char,27590,38466 tokens,35825 tokens,2641,False,Success
93,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2014_Annual Report.txt,19494 char,17843 char,1651,2481 tokens,2209 tokens,272,False,Success
99,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2014_10-K.txt,371917 char,339877 char,32040,44618 tokens,41589 tokens,3029,False,Success
100,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2013_10-K.txt,413365 char,376654 char,36711,49825 tokens,46057 tokens,3768,False,Success
92,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2012_Annual Report.txt,31642 char,29275 char,2367,3880 tokens,3582 tokens,298,False,Success
98,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2012_10-K.txt,368501 char,336643 char,31858,44212 tokens,41048 tokens,3164,False,Success
87,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2011_Annual Report.txt,30808 char,28222 char,2586,3846 tokens,3503 tokens,343,False,Success
96,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2011_10-K.txt,386987 char,353686 char,33301,46330 tokens,43184 tokens,3146,False,Success
94,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2010_10-K.txt,352896 char,323328 char,29568,42125 tokens,39426 tokens,2699,False,Success
91,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2009_10-K.txt,331655 char,303266 char,28389,39434 tokens,36846 tokens,2588,False,Success
84,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2008_Annual Report.txt,24132 char,22195 char,1937,2988 tokens,2725 tokens,263,False,Success
90,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2008_10-K.txt,332457 char,303724 char,28733,39701 tokens,37070 tokens,2631,False,Success
89,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2007_10-K.txt,331061 char,303092 char,27969,39579 tokens,37062 tokens,2517,False,Success
82,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2006_Annual Report.txt,38917 char,35978 char,2939,4879 tokens,4489 tokens,390,False,Success
88,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2006_10-K.txt,313121 char,286927 char,26194,37466 tokens,35156 tokens,2310,False,Success
85,10-K_or_equivalent-txt-preprocessed\GILD\GILD_2005_10-K.txt,240555 char,220119 char,20436,28923 tokens,27114 tokens,1809,False,Success
